,feature,Ranking
0,NCL_DNA,28
1,GATAD2B_DNA,1
2,PLCH1_DNA,44
3,ANO10_DNA,14
4,RANBP2_DNA,1
5,METTL10_DNA,1
6,VDAC2_DNA,1
7,RNF10_DNA,1
8,SLC12A9_DNA,1
9,UBE2F.1_DNA,20
10,SMAP2_DNA,1
11,C17orf79_DNA,1
12,LRRC58.1_DNA,19
13,MAP1D_DNA,1
14,KPNB1_DNA,1
15,SLC35E1_DNA,25
16,LRRC58.2_DNA,1
17,ACE_DNA,1
18,C6orf153_DNA,17
19,MIR760_DNA,1
20,PPP2R2A_DNA,1
21,RRP15_DNA,37
22,ITCH_DNA,1
23,WASH5P_DNA,1
24,PPIC_DNA,1
25,APPL2_DNA,49
26,STK35_DNA,1
27,HEMK1.2_DNA,9
28,ARF4_DNA,21
29,ANKRD33B_DNA,1
30,SOX12_DNA,1
31,HSD11B2_DNA,1
32,PPP1R11_DNA,1
33,LYPLA2_DNA,1
34,GUCA2A.1_DNA,1
35,RUVBL1.1_DNA,1
36,SMEK1.1_DNA,1
37,FRAT1.2_DNA,1
38,VPS25.1_DNA,1
39,DNAJC14.1_DNA,1
40,CEBPB.1_DNA,1
41,MPPE1.4_DNA,1
42,TXLNA.3_DNA,1
43,TBC1D23.2_DNA,1
44,LRRC8B_DNA,3
45,RALGAPB.1_DNA,1
46,CCDC9_DNA,24
47,SLC6A4.1_DNA,1
48,SLBP_DNA,5
49,IRS1_DNA,1
50,TMSB10_DNA,1
51,TNRC18_DNA,1
52,C6orf153.1_DNA,36
53,SRRM1.4_DNA,1
54,ZNF480.1_DNA,1
55,GMIP.1_DNA,1
56,NCL.3_DNA,1
57,CBX4.1_DNA,1
58,PYGB.2_DNA,1
59,LEKR1.1_DNA,1
60,ACADSB_RNA,1
61,ANXA9_RNA,1
62,ARHGEF4_RNA,4
63,ARSG_RNA,1
64,ATAD3B_RNA,45
65,B3GNT5_RNA,41
66,C10orf110_RNA,1
67,C16orf79_RNA,38
68,C17orf37_RNA,47
69,C19orf29_RNA,1
70,C19orf60_RNA,1
71,C19orf6_RNA,1
72,C21orf2_RNA,1
73,C6orf211_RNA,1
74,C6orf97_RNA,1
75,CA12_RNA,1
76,CAPN10_RNA,1
77,CCDC130_RNA,1
78,CCNE1_RNA,1
79,CDK10_RNA,1
80,CDK12_RNA,1
81,CDK3_RNA,18
82,CELSR1_RNA,10
83,CLSTN2_RNA,1
84,CROCC_RNA,48
85,CSNK1G2_RNA,1
86,CXXC1_RNA,1
87,DEGS2_RNA,12
88,DNALI1_RNA,1
89,DSC2_RNA,29
90,DUS3L_RNA,1
91,ERBB2_RNA,1
92,ESR1_RNA,1
93,FAM193B_RNA,35
94,FBP1_RNA,7
95,FOXA1_RNA,1
96,FOXC1_RNA,1
97,GATA3_RNA,1
98,GMPS_RNA,1
99,GPR160_RNA,1
100,GRB7_RNA,1
101,INPP4B_RNA,34
102,IVD_RNA,15
103,LOC729991_RNA,1
104,LRRC17_RNA,22
105,MAFK_RNA,1
106,MAP2K7_RNA,27
107,MBD3_RNA,1
108,MED1_RNA,1
109,MIB2_RNA,1
110,MLPH_RNA,1
111,NACA2_RNA,1
112,NASP_RNA,1
113,NEURL2_RNA,1
114,ORMDL3_RNA,8
115,PDE7A_RNA,33
116,PGAP3_RNA,1
117,PPIAL4G_RNA,1
118,PPP1R12C_RNA,1
119,PQLC1_RNA,26
120,PRR15_RNA,1
121,PSAT1_RNA,13
122,PSMD3_RNA,1
123,RABEP1_RNA,1
124,RHOB_RNA,1
125,SELO_RNA,40
126,SFRS16_RNA,1
127,SLC12A9_RNA,6
128,SLC16A6_RNA,1
129,SLC39A6_RNA,1
130,SLC7A8_RNA,1
131,SNRNP70_RNA,1
132,SPEF2_RNA,30
133,SPPL2B_RNA,31
134,STARD3_RNA,1
135,STX10_RNA,1
136,TACC3_RNA,1
137,TBC1D9_RNA,1
138,THSD4_RNA,1
139,TMBIM6_RNA,1
140,TMEM144_RNA,1
141,WASH3P_RNA,16
142,WASH7P_RNA,46
143,WWP1_RNA,1
144,XBP1_RNA,11
145,YBX1_RNA,1
146,ZGPAT_RNA,43
147,ZMYND17_RNA,1
148,ZNF513_RNA,42
149,CDK12_CNV,2
150,CSF3_CNV,32
151,ERBB2_CNV,1
152,GRB7_CNV,1
153,GSDMA_CNV,23
154,GSDMB_CNV,1
155,IKZF3_CNV,1
156,MED1_CNV,39
157,NEUROD2_CNV,1
158,ORMDL3_CNV,1
159,PGAP3_CNV,1
160,PNMT_CNV,1
161,PPP1R1B_CNV,1
162,PSMD3_CNV,1
163,STARD3_CNV,1
164,TCAP_CNV,1
165,ZPBP2_CNV,1
